word => count, index
कक्षा =>1516
टेक्निकल =>30
स्टाटस =>57
स्थिति =>407
सकि =>123
क्यालिब्रेशन =>1
गृहकार्य =>78
लक्ष्य =>1075
पोखरा =>1965
फिजिकल =>6
एन्फास्ट्रक्चर =>1
रिट्ठेपानी =>1
काट्ने =>53
गरिदिए =>145
ल्याण्डफिल्ड =>1
बनाइदिए =>40
भर्न =>120
युरोपियन =>123
इयू =>20
ब्ल्याक =>118
लिस्ट =>27
कालोसूची =>67
राखेको =>1
हटाउन =>178
नेतृत्व =>964
कार्यकाल =>164
ल्याउने =>578
योग्य =>129
नरोकिए =>22
सी =>232
बे =>25
सीजी =>38
ईलेक्ट्रोनिक्स =>3
ब्राण्ड =>332
बेको =>1
यो =>374
इलेक्ट्रोनिक्स =>58
विक्रिवितरण =>2
गर्नेछ =>659
सिजी =>24
दीर्घकालिन =>19
रणनीति =>105
अनुशरण =>14
यहीँ =>126
प्रतिस्पर्धात्मक =>54
सिर्जना =>666
सम्बोधन =>458
राखे =>1018
स्थानिय =>63
साथ =>389
ईलेक्ट्रोनिक्स् =>5
टेवा =>102
ब्रान्ड् =>4
वाशिङ =>10
मेसिन =>272
तीब्रतर =>1
डिसवशर =>2
छिटै =>63
स्थापित =>420
यूरोप =>47
संसार =>687
रुचाए =>65
खुकुरी =>63
रम =>30
प्याकेजिङ =>33
प्याक =>232
स्थापना =>1096
राख्दै =>262
प्याकेज =>462
विश्वस्तरीय =>20
वातावरणमैत्री =>15
बोतल =>55
लुक्स =>29
ब्लेण्ड =>4
स्वाद =>186
फरक =>828
बीस =>80
निरन्तर =>611
पुरानो =>430
ब्याच =>27
लञ्च =>284
नहुञ्जेल =>5
रहने =>845
एकै =>630
विद्युत् =>373
तुम्लिङटार =>22
मनकामना =>59
रत्न =>54
अम्बिका =>18
माध्यमिक =>384
मङ्गलबार =>222
माथिल्लो =>203
जनाउनु =>20
अगाडी =>13
ई =>195
कमर्श =>51
आलिया =>72
पहिरन =>54
प्रवर्द्धन =>289
ढाका =>83
पस्मिना =>2
समीक्षा =>228
कार्की =>393
मौलिक =>225
पुर् =>574
लिइए =>221
दिइन् =>182
आगामी =>1507
अर्डर =>81
डेलिभरी =>8
बनाए =>1971
भनिन् =>615
छौँ =>519
आउनुपर्छ =>17
अनलाइन =>795
धन =>122
देवी =>134
सुन =>316
चाँदी =>146
हीरा =>11
मोती =>24
असर्फी =>42
किनेर =>65
राख्दा =>50
धनलाभ =>2
जनविश्वास =>20
धनवन्तरी =>4
जयन्ती =>64
त्रयोदशी =>2
धातु =>51
प्रचलन =>112
लग्दा =>2
किन्छन् =>3
देशभर =>173
सुनचाँदी =>60
भाँडाकुँडा =>12
घुइँचो =>41
हिरा =>66
नसक्ने =>394
पित्तल =>4
धनतेरस =>10
किलो =>230
भने =>1715
तोला =>32
आउँछ =>314
पनिराष्ट्र =>1
हारालुछ =>2
एउटै =>5
फोटो =>607
भिडियो =>2182
मणिकरत्न =>2
शाक्य =>408
सुस्ताए =>38
तीज =>181
चम्काए =>1
दैनिक =>1351
हुन्थ्यो =>312
चाड =>65
बढ्छ =>102
ठुलो =>148
पछिल्ला =>439
बी =>498
विकृति =>113
विसङ्गति =>32
नियामक =>125
निकाय =>781
सम्वद्ध =>14
कारबाही =>377
चेतावनी =>317
मनसाय =>26
ठगी =>88
नियमत =>1
पाइएका =>9
दिँदै =>509
नाम =>2068
किर्ते =>16
जालसाजी =>9
कागजात =>100
बेहोरा =>10
पेश =>317
कसुर =>46
पाइए =>704
कीर्ते =>11
बीमालेख =>10
तयार =>1494
घटना =>1205
विवरण =>702
नियत =>32
कानूनविपरीत =>2
नकारात्मक =>156
प्रभाव =>602
घटन =>1
नदिन =>145
सरोकार =>76
ध्यानकर्षण =>3
क्रियाकलपा =>1
संलग्न =>314
नहुन =>66
अभि =>30
सर्भेयरलगायत =>1
कुमारी =>132
लिमिटेड =>349
सेयरधनी =>34
बोनस =>201
शेयर =>890
लाभांश =>124
पाउने =>1011
साधारणसभा =>119
नाफा =>166
परिमाण =>89
प्रस्ताव =>701
पारित =>227
साधारण =>195
सभा =>364
आ =>203
व =>17
बोनश =>8
सेयर =>559
वापत =>36
कर =>430
प्रयोजना =>2
चुक्तापुँजी =>1
पुग्नेछ =>91
लेखापरीक्षक =>9
प्रतिवेदन =>460
वासलात =>3
नोक्सान =>62
हिसाब =>330
प्रवाह =>274
पूँजी =>49
छलफल =>1110
कुल =>972
खर्ब =>347
मुनाफा =>128
खुद =>42
आर्जन =>100
उपत्यका =>480
एटीएम् =>1
एक्स्टेन्सन =>9
काउन्टर =>75
बैंकिङ्क =>1
इकाई =>62
चुलिने =>2
बैंकर्स =>30
विपरित =>50
रिपोर्ट =>879
कार्तिक =>151
जम्मा =>459
समिक्षा =>55
संघीय =>289
संसद =>254
प्रतिनिधिसभा =>103
अन्तर्गत =>151
अर्थ =>582
स्टील =>19
बजेट =>1081
गएर =>409
चालू =>141
स्पञ्ज =>5
आइरन =>42
अन्तशूल्क =>2
विलेट =>17
यथावत =>51
अन्तःशुल्क =>33
डण्डी =>18
साखः =>2
स्टिल =>32
प्रबन्ध =>219
निर्देशक =>1636
किरण =>287
प्रकाश =>640
लिनु =>163
लिँदा =>49
ढिला =>99
हुन्छन् =>649
पञ्चकन्या =>22
प्रालि =>334
प्रदीप =>105
डेढ =>309
भित्र =>185
भई =>653
अव =>47
सुरेन्द्र =>118
पाण्डे =>599
घटाउने =>56
अर्थमन्त्रालय =>16
निर्देशन =>1256
दिनु =>1021
शिवम् =>21
सिमेन्ट्स =>6
पूँ =>8
पब्लिक =>79
परिणत =>115
छैठौं =>20
शेयरधनी =>33
रजिष्ट्रार =>72
सिद्धार्थ =>114
क्यापिटल =>107
डिम्याट =>59
एकाउण्ट =>1
अद्यावधिक =>25
सुरेन्द्रकुमार =>5
गोयल =>15
अध्यक्षता =>172
रुपैयाँँ =>2
संचालक =>124
प्रस्तुत =>873
ऊर्जा =>246
प्रतिस्पर्धी =>199
मन्त्रालय =>3073
सहमति =>544
अन्तरदेशीय =>18
स्वीकृति =>188
एक्सचेन्ज =>76
मार्केट =>73
स्वामित्व =>152
नुवाकोट =>181
सञ्चाल =>16
मेगावाट =>49
त्रिशूली =>36
देवीघाट =>6
गृह =>185
आईआईएक्स =>5
विद्युतगृह =>6
मानी =>10
राति =>727
ढल्केबर =>14
मुजफ्फपुर =>2
केभी =>100
प्रसारणलाइन =>12
निर्यात =>180
आइआइएक्स =>1
पाइ =>125
वैशाख =>548
वेला =>23
प्रतिश्पर्धी =>2
प्रवेश =>1057
जलस्रोत =>57
सिँचाइमन्त्री =>13
पम्फा =>35
एसिया =>254
राजनीतिक =>721
कूटनीतिक =>73
प्रशासनिक =>92
जगेडा =>12
कोशेढुङ्गा =>13
कुलमान =>66
घिसिङ =>118
सम्बन्ध =>1138
इँटा =>32
थपिए =>587
प्रणाली =>707
डे =>172
अहेड =>1
बिहान =>1064
मध्यान्न =>4
बिड =>5
प्रतिस्पर्धा =>736
तय =>425
क्लियरिङ =>11
प्राइस =>13
युनिट =>90
रात =>446
कोइला =>19
भारु =>81
लगानीकर्ता =>206
बुक =>162
फर्किए =>396
स्टक =>76
एक्सचेञ्ज =>37
नेप्से =>274
हिजो =>334
अंक =>1601
हप्ता =>895
गिरावट =>232
आजै =>124
पस्दा =>13
परिसूचक =>209
कित्ता =>344
किनबेच =>83
यी =>74
सुधार =>680
आउँदा =>250
निर्जीवन =>51
जलविद्युत =>91
समान =>366
साहस =>67
उर्जा =>152
अलिबाबा =>23
दराज =>103
ः =>301
मनाउँदै =>29
मनाउँछ =>6
सोही =>60
बेच्ने =>99
सारे =>135
सामेल =>140
भाग्यमानी =>34
